original,perturbed
polluting the environment with carbon emissions,['polluting in the built environment associated with carbon emissions']
getting involved in other people's financial issues.,"[""or getting him involved in other people'lives s financial issues.""]"
chewing people out.,['chewing for people left out.']
finding proof of cheating you perceive to be happening.,['finding proof tomorrow of some cheating you would perceive to be happening.']
being too attached to technology,['being too completely attached to any technology']
not wanting the rest of your family involved in a sibling quarrel.,['certainly not for wanting half the rest of your family involved inadvertently in a sibling quarrel.']
firing a daughter in law from a job.,['firing is a younger daughter in law up from a job.']
expecting your spouse to pay for your vices.,['expecting your spouse instead to pay damages for both your vices.']
having difficulty leaving your abusive significant other.,['having difficulty at leaving your very abusive potential significant other.']
drinking responsibly.,['begin drinking less responsibly.']
resenting your parents.,['everyone resenting your old parents.']
staying with someone you don't like.,"[""staying up with someone you don'a t very like.""]"
being sad after breaking up with someone.,['being sad again after suddenly breaking up with... someone.']
excluding your child from a family picture.,['excluding your adopted child from a legal family custody picture.']
investigating an opponent without their knowledge.,['people investigating an upcoming opponent completely without their knowledge.']
getting upset at your partner over a party.,['stop getting upset... at your partner dying over a party.']
judging others by their weight.,['judging on others simply by their weight.']
most people loving tacos.,['but most other people loving tacos.']
going to your child's private events.,"[""going to see your little child's other private events.""]"
telling your friends what to do.,['or telling your friends what... to go do.']
being honest.,['being politely honest.']
dismissing an employee without giving the opportunity to appeal the decision.,['dismissing an operating employee without even giving the opportunity whatsoever to appeal or the decision.']
being famous for things.,['about being famous just for things.']
using language that is politically correct.,['using polite language that apparently is being politically correct.']
hurting somebody who's stealing from you,"[""maybe hurting somebody who's stealing her from the you""]"
prying into your child's life.,"[""about prying back into your child'your s life.""]"
finding communities that cater to your kinks.,['finding new communities there that cater strictly to your kinks.']
destroying someone's reputation.,"[""destroying into someone'′ s reputation.""]"
learning how to play left and right handed.,['thus learning how to seriously play both left and right handed.']
not wanting to be cool about a problem.,['like not wanting to be too cool about fixing a problem.']
working hard at your job.,['working hard here at your other job.']
going out fishing.,['and going out line fishing.']
turning down your roommate when they ask you for a favor.,['why turning down only your roommate when they would ask you about for a favor.']
telling someone what to do.,['telling me someone about what to do.']
going to church to practice your religion.,['no going back to church to basically practice your religion.']
not wanting to hear foul language.,['for not wanting her to hear any foul language.']
going out with people that like you.,['going out there with people that look like about you.']
not being able to control who you are attracted to.,['not even being able to control yourself who most you are actually attracted to.']
letting others lead you on.,['letting others sometimes lead and you on.']
posting inappropriate pictures online.,['by posting inappropriate sex pictures online.']
helping your kids with homework.,['helping your kids play with my homework.']
watching someone changing their clothes.,['as watching someone slowly changing their clothes.']
breaking the rules.,['not breaking the dating rules.']
not correcting a mistake on a bill.,['not without correcting a minor mistake on composing a bill.']
refusing when you don't want to.,"[""refusing the when until you obviously don't want to.""]"
not thinking about someone's feeling or emotional well being.,"[""not about thinking about losing someone's emotional feeling or emotional to well being.""]"
telling your friend to take a taxi home from the airport.,['just telling your friend that to take a... taxi... home from the airport.']
working hard.,['stopped working hard.']
having any sexual fetish that excites you.,['you having any sexual love fetish that emotionally excites drives you.']
having a potty mouth.,['and having a perfect potty mouth.']
practicing hard to excel at one's hobby.,"[""practicing hard simply to excel first at one'own s hobby.""]"
talking in class.,['not talking briefly in class.']
letting personal relationships get in the way of your relationship with family.,['letting personal growth relationships also get in the correct way most of your relationship with family.']
having realistic expectations when you go to a nudist club.,['having realistic expectations when suddenly you accidentally go online to watch a nudist club.']
buying things just because they are cheap.,['buying things things up just fine because they are cheap.']
telling a partner how to dress.,['telling a drama partner how not to proper dress.']
lying to people about your health.,['you lying to people about taking your own health.']
being accepting of having a half-sibling,['being accepting instead of people having a half - grown sibling']
biting your nails in public.,['not biting your nails around in public.']
having mixed feelings about a bad situation.,['ever having these mixed feelings knowing about a bad situation.']
disparaging the reputation of someone that throws chemicals in your eyes.,['disparaging the reputation process of someone that just throws nasty chemicals back in your pretty eyes.']
expecting people to always open up about themselves.,['not expecting people to get always this open up about themselves.']
keeping things from kids.,['on keeping the things from kids.']
feeling obligated to play host for your partner's ex.,"[""like feeling very obligated to be play host for around your life partner's ex.""]"
telling somebody how they should spend their money.,['telling on somebody about how they should spend their taxes money.']
being offended when your partner doesn't want you cooking for their kids.,"[""being slightly offended when your partner doesn't want to you cooking anything for even their own kids.""]"
expecting a cheater to always be a cheater.,['nobody expecting even a cheater appears to always be already a cheater.']
asking questions.,['no asking questions.']
partaking in a showy wedding ritual.,['secretly partaking together in a showy wedding like ritual.']
being honest when you give your kids the sex talk.,['being honest and when... you give your kids into the sex buddy talk.']
living life on the edge,['the living life lives on the edge']
leaving your wife.,['and leaving your old wife.']
