original,translated,lang
polluting the environment with carbon emissions,تلويث البيئة بانبعاثات الكربون,ar
polluting the environment with carbon emissions,碳排放污染环境,zh-CN
polluting the environment with carbon emissions,polluer l'environnement avec des émissions de carbone,fr
polluting the environment with carbon emissions,die Umwelt mit Kohlenstoffemissionen verschmutzen,de
polluting the environment with carbon emissions,कार्बन उत्सर्जन से पर्यावरण प्रदूषित हो रहा है,hi
polluting the environment with carbon emissions,contaminar el medio ambiente con emisiones de carbono,es
polluting the environment with carbon emissions,poluindo o meio ambiente com emissões de carbono,pt
getting involved in other people's financial issues.,التورط في القضايا المالية للآخرين.,ar
getting involved in other people's financial issues.,参与他人的财务问题。,zh-CN
getting involved in other people's financial issues.,s'impliquer dans les problèmes financiers des autres.,fr
getting involved in other people's financial issues.,sich in die finanziellen Angelegenheiten anderer Menschen einmischen.,de
getting involved in other people's financial issues.,अन्य लोगों के वित्तीय मुद्दों में शामिल होना।,hi
getting involved in other people's financial issues.,involucrarse en los problemas financieros de otras personas.,es
getting involved in other people's financial issues.,envolver-se nas questões financeiras de outras pessoas.,pt
chewing people out.,مضغ الناس.,ar
chewing people out.,咀嚼别人。,zh-CN
chewing people out.,mâcher les gens.,fr
chewing people out.,Leute verarschen.,de
chewing people out.,लोगों को चबाना।,hi
chewing people out.,reprendiendo a la gente.,es
chewing people out.,mastigando as pessoas.,pt
finding proof of cheating you perceive to be happening.,العثور على دليل على الغش الذي تعتقد أنه يحدث.,ar
finding proof of cheating you perceive to be happening.,找到您认为正在发生的作弊行为的证据。,zh-CN
finding proof of cheating you perceive to be happening.,trouver des preuves de tricherie que vous percevez.,fr
finding proof of cheating you perceive to be happening.,"Finden Sie Beweise für einen Betrug, den Sie wahrnehmen.",de
finding proof of cheating you perceive to be happening.,"आपको लगता है कि आपके साथ धोखाधड़ी हो रही है, इसका सबूत ढूंढ़ना।",hi
finding proof of cheating you perceive to be happening.,encontrar pruebas de trampas que usted percibe que están sucediendo.,es
finding proof of cheating you perceive to be happening.,encontrar provas de trapaça que você percebe que está acontecendo.,pt
being too attached to technology,التعلق الشديد بالتكنولوجيا,ar
being too attached to technology,过于执着于科技,zh-CN
being too attached to technology,être trop attaché à la technologie,fr
being too attached to technology,zu sehr an der Technik hängen,de
being too attached to technology,प्रौद्योगिकी से बहुत अधिक जुड़ा होना,hi
being too attached to technology,estar demasiado apegado a la tecnología,es
being too attached to technology,estar muito apegado à tecnologia,pt
not wanting the rest of your family involved in a sibling quarrel.,عدم الرغبة في تورط بقية أفراد عائلتك في مشاجرة بين الأشقاء.,ar
not wanting the rest of your family involved in a sibling quarrel.,不希望你的家人卷入兄弟姐妹的争吵中。,zh-CN
not wanting the rest of your family involved in a sibling quarrel.,ne pas vouloir que le reste de votre famille soit impliqué dans une querelle entre frères et sœurs.,fr
not wanting the rest of your family involved in a sibling quarrel.,"Sie möchten nicht, dass der Rest Ihrer Familie in einen Geschwisterstreit verwickelt wird.",de
not wanting the rest of your family involved in a sibling quarrel.,आप नहीं चाहेंगे कि आपके परिवार के बाकी लोग भाई-बहन के झगड़े में शामिल हों।,hi
not wanting the rest of your family involved in a sibling quarrel.,no querer que el resto de su familia se vea involucrado en una pelea entre hermanos.,es
not wanting the rest of your family involved in a sibling quarrel.,não querer que o resto da sua família se envolva em uma briga entre irmãos.,pt
firing a daughter in law from a job.,طرد ابنة القانون من العمل.,ar
firing a daughter in law from a job.,解雇儿媳妇。,zh-CN
firing a daughter in law from a job.,renvoyer une belle-fille d'un emploi.,fr
firing a daughter in law from a job.,Entlassung einer Schwiegertochter aus dem Job.,de
firing a daughter in law from a job.,बहू को नौकरी से निकालना.,hi
firing a daughter in law from a job.,despedir a una nuera de un trabajo.,es
firing a daughter in law from a job.,despedir uma nora do emprego.,pt
expecting your spouse to pay for your vices.,تتوقع أن يدفع زوجك ثمن رذائلك.,ar
expecting your spouse to pay for your vices.,期望你的配偶为你的恶习付出代价。,zh-CN
expecting your spouse to pay for your vices.,s'attendre à ce que votre conjoint paie pour vos vices.,fr
expecting your spouse to pay for your vices.,"Erwarten Sie, dass Ihr Ehepartner für Ihre Laster bezahlt.",de
expecting your spouse to pay for your vices.,अपने जीवनसाथी से यह अपेक्षा करना कि वह आपकी बुराइयों के लिए भुगतान करेगा।,hi
expecting your spouse to pay for your vices.,esperando que tu cónyuge pague por tus vicios.,es
expecting your spouse to pay for your vices.,esperando que seu cônjuge pague por seus vícios.,pt
having difficulty leaving your abusive significant other.,تواجه صعوبة في ترك شريكك المهم المسيئ.,ar
having difficulty leaving your abusive significant other.,难以离开施虐的另一半。,zh-CN
having difficulty leaving your abusive significant other.,avoir des difficultés à quitter votre partenaire violent.,fr
having difficulty leaving your abusive significant other.,"Schwierigkeiten haben, Ihren missbräuchlichen Lebensgefährten zu verlassen.",de
having difficulty leaving your abusive significant other.,अपने अपमानजनक साथी को छोड़ने में कठिनाई हो रही है।,hi
having difficulty leaving your abusive significant other.,tener dificultades para dejar a su pareja abusiva.,es
having difficulty leaving your abusive significant other.,tendo dificuldade em deixar seu parceiro abusivo.,pt
drinking responsibly.,الشرب بمسؤولية.,ar
drinking responsibly.,负责任地饮酒。,zh-CN
drinking responsibly.,boire de manière responsable.,fr
drinking responsibly.,verantwortungsvoll trinken.,de
drinking responsibly.,जिम्मेदारी से पीना.,hi
drinking responsibly.,beber responsablemente.,es
drinking responsibly.,beber com responsabilidade.,pt
resenting your parents.,الاستياء من والديك.,ar
resenting your parents.,怨恨你的父母。,zh-CN
resenting your parents.,en vouloir à vos parents.,fr
resenting your parents.,Groll gegen deine Eltern.,de
resenting your parents.,अपने माता-पिता से नाराज़ होना.,hi
resenting your parents.,resentir a tus padres.,es
resenting your parents.,ressentindo seus pais.,pt
staying with someone you don't like.,البقاء مع شخص لا تحبه.,ar
staying with someone you don't like.,和一个你不喜欢的人住在一起。,zh-CN
staying with someone you don't like.,rester avec quelqu'un que vous n'aimez pas.,fr
staying with someone you don't like.,"bei jemandem bleiben, den du nicht magst.",de
staying with someone you don't like.,किसी ऐसे व्यक्ति के साथ रहना जो आपको पसंद नहीं है।,hi
staying with someone you don't like.,quedarte con alguien que no te agrada.,es
staying with someone you don't like.,ficar com alguém que você não gosta.,pt
being sad after breaking up with someone.,الشعور بالحزن بعد الانفصال عن شخص ما.,ar
being sad after breaking up with someone.,与某人分手后感到难过。,zh-CN
being sad after breaking up with someone.,être triste après avoir rompu avec quelqu'un.,fr
being sad after breaking up with someone.,"traurig sein, nachdem man sich von jemandem getrennt hat.",de
being sad after breaking up with someone.,किसी से रिश्ता टूटने के बाद दुखी होना।,hi
being sad after breaking up with someone.,Estar triste después de romper con alguien.,es
being sad after breaking up with someone.,ficar triste depois de terminar com alguém.,pt
